rank,star,status,status_datetime,officer_id,trr_id
LIEUTENANT,410,,2016-04-17 04:42:00 PM,,96535
OFFICER,15498,,2016-04-17 04:29:00 PM,,96536
SERGEANT,2559,,2016-04-17 04:32:00 PM,,96536
LIEUTENANT,410,,2016-04-17 04:41:00 PM,,96536
OFFICER,13190,,2016-04-18 05:45:00 AM,,96537
SERGEANT,2020,,2016-04-18 05:47:00 AM,,96537
LIEUTENANT,537,,2016-04-18 05:57:00 AM,,96537
OFFICER,18813,,2016-04-18 06:34:00 AM,,96538
SERGEANT,1954,,2016-04-18 06:45:00 AM,,96538
LIEUTENANT,172,,2016-04-18 06:57:00 AM,,96538
OFFICER,9220,,2016-04-18 08:58:00 AM,,96540
SERGEANT,2583,,2016-04-18 08:59:00 AM,,96540
LIEUTENANT,330,,2016-04-18 09:08:00 AM,,96540
OFFICER,19328,,2016-04-18 01:12:00 PM,,96545
SERGEANT,1794,,2016-04-18 01:20:00 PM,,96545
LIEUTENANT,628,,2016-04-18 02:56:00 PM,,96545
OFFICER,5968,,2016-04-18 03:47:00 PM,,96546
SERGEANT,1068,,2016-04-18 04:06:00 PM,,96546
LIEUTENANT,183,,2016-04-19 05:26:00 AM,,96546
OFFICER,6245,,2016-04-19 06:10:00 AM,,96547
SERGEANT,1182,,2016-04-19 06:20:00 AM,,96547
LIEUTENANT,183,,2016-04-19 06:29:00 AM,,96547
OFFICER,7917,,2016-04-19 07:14:00 AM,,96548
SERGEANT,2029,,2016-04-19 07:15:00 AM,,96548
LIEUTENANT,586,,2016-04-19 08:08:00 AM,,96548
OFFICER,15583,,2016-04-19 09:27:00 AM,,96549
SERGEANT,1811,,2016-04-19 09:52:00 AM,,96549
LIEUTENANT,330,,2016-04-19 10:12:00 AM,,96549
OFFICER,15701,,2016-04-19 10:18:00 AM,,96550
SERGEANT,2138,,2016-04-19 10:25:00 AM,,96550
LIEUTENANT,376,,2016-04-19 01:50:00 PM,,96550
OFFICER,14867,,2016-04-19 01:41:00 PM,,96551
SERGEANT,2138,,2016-04-19 01:42:00 PM,,96551
LIEUTENANT,376,,2016-04-19 01:51:00 PM,,96551
OFFICER,6211,,2016-04-19 04:28:00 PM,,96552
SERGEANT,1015,,2016-04-19 04:32:00 PM,,96552
LIEUTENANT,261,,2016-04-19 05:54:00 AM,,96552
OFFICER,13218,,2016-04-19 04:29:00 PM,,96553
SERGEANT,1015,,2016-04-19 04:33:00 PM,,96553
LIEUTENANT,261,,2016-04-19 05:53:00 AM,,96553
OFFICER,12078,,2016-04-19 07:27:00 AM,,96554
SERGEANT,1733,,2016-04-19 07:29:00 AM,,96554
LIEUTENANT,212,,2016-04-19 07:50:00 AM,,96554
OFFICER,13663,,2016-04-19 07:27:00 AM,,96555
SERGEANT,1733,,2016-04-19 07:29:00 AM,,96555
LIEUTENANT,212,,2016-04-19 07:48:00 AM,,96555
OFFICER,16100,,2016-04-19 08:29:00 AM,,96556
SERGEANT,2307,,2016-04-19 08:32:00 AM,,96556
LIEUTENANT,310,,2016-04-19 09:07:00 AM,,96556
OFFICER,6218,,2016-04-19 08:37:00 AM,,96557
SERGEANT,2307,,2016-04-19 08:37:00 AM,,96557
LIEUTENANT,310,,2016-04-19 09:08:00 AM,,96557
OFFICER,18800,,2016-04-19 11:13:00 AM,,96558
SERGEANT,2371,,2016-04-19 11:48:00 AM,,96558
LIEUTENANT,663,,2016-04-19 12:48:00 AM,,96558
OFFICER,12734,,2016-04-19 10:59:00 AM,,96559
SERGEANT,837,,2016-04-19 11:10:00 AM,,96559
LIEUTENANT,732,,2016-04-19 12:17:00 AM,,96559
OFFICER,19191,,2016-04-19 11:08:00 AM,,96560
SERGEANT,837,,2016-04-19 11:11:00 AM,,96560
LIEUTENANT,732,,2016-04-19 12:18:00 AM,,96560
OFFICER,14321,,2016-04-19 11:52:00 AM,,96561
SERGEANT,2371,,2016-04-19 11:55:00 AM,,96561
LIEUTENANT,663,,2016-04-19 12:51:00 AM,,96561
OFFICER,19737,,2016-04-19 02:59:00 PM,,96562
SERGEANT,1135,,2016-04-19 03:00:00 PM,,96562
LIEUTENANT,497,,2016-04-20 11:02:00 AM,,96562
OFFICER,17140,,2016-04-19 02:38:00 PM,,96563
SERGEANT,1135,,2016-04-19 02:54:00 PM,,96563
LIEUTENANT,497,,2016-04-20 11:00:00 AM,,96563
OFFICER,14620,,2016-04-20 06:34:00 AM,,96564
SERGEANT,1400,,2016-04-20 06:35:00 AM,,96564
LIEUTENANT,513,,2016-04-20 06:57:00 AM,,96564
OFFICER,12531,,2016-04-20 07:29:00 AM,,96565
SERGEANT,1864,,2016-04-20 08:33:00 AM,,96565
LIEUTENANT,228,,2016-04-20 10:11:00 AM,,96565
OFFICER,4611,,2016-04-20 07:24:00 AM,,96566
SERGEANT,1864,,2016-04-20 07:25:00 AM,,96566
LIEUTENANT,228,,2016-04-20 11:14:00 AM,,96566
OFFICER,18529,,2016-04-20 07:52:00 AM,,96567
SERGEANT,1864,,2016-04-20 07:55:00 AM,,96567
LIEUTENANT,228,,2016-04-20 11:18:00 AM,,96567
OFFICER,18255,,2016-04-20 07:52:00 AM,,96568
SERGEANT,1864,,2016-04-20 07:55:00 AM,,96568
LIEUTENANT,228,,2016-04-20 11:18:00 AM,,96568
OFFICER,12313,,2016-04-20 06:55:00 AM,,96569
SERGEANT,1864,,2016-04-20 07:23:00 AM,,96569
LIEUTENANT,228,,2016-04-20 11:15:00 AM,,96569
OFFICER,18968,,2016-04-20 07:22:00 AM,,96570
SERGEANT,1864,,2016-04-20 07:24:00 AM,,96570
LIEUTENANT,228,,2016-04-20 11:15:00 AM,,96570
OFFICER,11522,,2016-04-20 07:28:00 AM,,96571
SERGEANT,1864,,2016-04-20 07:32:00 AM,,96571
LIEUTENANT,228,,2016-04-20 11:14:00 AM,,96571
OFFICER,11522,,2016-04-20 07:53:00 AM,,96572
SERGEANT,1864,,2016-04-20 07:55:00 AM,,96572
LIEUTENANT,228,,2016-04-20 11:17:00 AM,,96572
OFFICER,6285,,2016-04-20 08:09:00 AM,,96573
SERGEANT,2105,,2016-04-20 08:28:00 AM,,96573
LIEUTENANT,224,,2016-04-20 08:32:00 AM,,96573
OFFICER,16512,,2016-04-20 07:28:00 AM,,96574
SERGEANT,1864,,2016-04-20 08:34:00 AM,,96574
LIEUTENANT,228,,2016-04-20 10:10:00 AM,,96574
OFFICER,19191,,2016-04-20 03:55:00 PM,,96576
SERGEANT,1111,,2016-04-20 03:57:00 PM,,96576
LIEUTENANT,258,,2016-04-20 04:04:00 PM,,96576
OFFICER,12734,,2016-04-20 11:04:00 AM,,96577
SERGEANT,1111,,2016-04-20 12:02:00 AM,,96577
LIEUTENANT,258,,2016-04-20 03:20:00 PM,,96577
OFFICER,12822,,2016-04-20 01:16:00 PM,,96578
SERGEANT,1111,,2016-04-20 01:16:00 PM,,96578
LIEUTENANT,258,,2016-04-20 03:16:00 PM,,96578
OFFICER,16681,,2016-04-20 12:56:00 AM,,96579
SERGEANT,1111,,2016-04-20 01:16:00 PM,,96579
LIEUTENANT,258,,2016-04-20 03:19:00 PM,,96579
OFFICER,6363,,2016-04-20 12:56:00 AM,,96580
SERGEANT,1111,,2016-04-20 01:17:00 PM,,96580
LIEUTENANT,258,,2016-04-20 03:18:00 PM,,96580
OFFICER,17364,,2016-04-20 12:59:00 AM,,96581
SERGEANT,1111,,2016-04-20 01:15:00 PM,,96581
LIEUTENANT,258,,2016-04-20 03:18:00 PM,,96581
OFFICER,10908,,2016-04-20 02:39:00 PM,,96582
SERGEANT,1596,,2016-04-20 03:23:00 PM,,96582
LIEUTENANT,414,,2016-05-03 11:17:00 AM,,96582
OFFICER,6557,,2016-04-21 06:35:00 AM,,96583
SERGEANT,1841,,2016-04-21 06:36:00 AM,,96583
LIEUTENANT,667,,2016-04-21 07:21:00 AM,,96583
OFFICER,17274,,2016-04-21 01:12:00 PM,,96584
SERGEANT,2138,,2016-04-21 01:18:00 PM,,96584
LIEUTENANT,376,,2016-04-21 01:24:00 PM,,96584
OFFICER,18585,,2016-04-21 01:11:00 PM,,96585
SERGEANT,2138,,2016-04-21 01:18:00 PM,,96585
LIEUTENANT,376,,2016-04-21 01:25:00 PM,,96585
OFFICER,7885,,2016-04-21 10:09:00 AM,,96586
SERGEANT,2295,,2016-04-21 03:08:00 PM,,96586
LIEUTENANT,192,,2016-04-21 04:09:00 PM,,96586
SERGEANT,2295,,2016-04-21 12:21:00 AM,,96587
LIEUTENANT,192,,2016-04-21 03:32:00 PM,,96587
LIEUTENANT,192,,2016-04-21 04:03:00 PM,,96587
OFFICER,6323,,2016-04-21 05:38:00 AM,,96588
SERGEANT,2102,,2016-04-21 05:41:00 AM,,96588
LIEUTENANT,495,,2016-04-21 06:17:00 AM,,96588
OFFICER,5330,,2016-04-21 06:08:00 AM,,96589
SERGEANT,1667,,2016-04-21 06:26:00 AM,,96589
LIEUTENANT,268,,2016-04-21 06:35:00 AM,,96589
OFFICER,4308,,2016-04-21 05:56:00 AM,,96590
SERGEANT,2102,,2016-04-21 05:58:00 AM,,96590
LIEUTENANT,495,,2016-04-21 06:16:00 AM,,96590
OFFICER,14092,,2016-04-21 10:43:00 AM,,96591
SERGEANT,1550,,2016-04-21 10:44:00 AM,,96591
LIEUTENANT,743,,2016-04-22 10:52:00 AM,,96591
OFFICER,16126,,2016-04-21 12:24:00 AM,,96592
SERGEANT,2600,,2016-04-21 12:55:00 AM,,96592
LIEUTENANT,663,,2016-04-21 12:59:00 AM,,96592
OFFICER,17090,,2016-04-21 12:43:00 AM,,96593
SERGEANT,2295,,2016-04-21 12:47:00 AM,,96593
LIEUTENANT,243,,2016-04-21 01:44:00 PM,,96593
OFFICER,17584,,2016-04-21 01:31:00 PM,,96594
SERGEANT,2295,,2016-04-21 01:46:00 PM,,96594
LIEUTENANT,243,,2016-04-21 01:48:00 PM,,96594
OFFICER,19054,,2016-04-22 05:00:00 AM,,96595
